Token,Attribution_Score,Frequency,Final_Importance
TT,3.72266706349933e-09,1,2.5803561792279314e-09
Count,3.7126011154242633e-09,1,2.573378995700036e-09
version,3.7024872057145326e-09,1,2.5663685677002982e-09
Range,3.499185941002736e-09,1,2.4254508692610453e-09
JSONObject,2.181635427866979e-09,2,2.3967714904483724e-09
ao,3.2574916375427425e-09,1,2.2579211442603513e-09
airing,3.242219354104847e-09,1,2.247335204054662e-09
Day,3.242219354104847e-09,1,2.247335204054662e-09
IOException,2.021668739533855e-09,2,2.221030120868061e-09
Standard,3.1843225799244035e-09,1,2.2072042182679712e-09
Name,1.4253536111813458e-09,3,1.9759596737825727e-09
set,2.7919078715576973e-09,1,1.9352030695533356e-09
schema,2.7918932166137722e-09,1,1.935192911520273e-09
URL,2.7768654042858994e-09,1,1.924776425775224e-09
as,2.7260625423686236e-09,1,1.8895625652728877e-09
Arrays,1.7016712717740636e-09,2,1.869476970444477e-09
iterator,2.529712148091612e-09,1,1.7534628430779435e-09
repeat,2.3271010118897095e-09,1,1.6130235052695478e-09
enum,2.3270795013186074e-09,1,1.6130085952778362e-09
Auth,2.29973831644692e-09,1,1.5940571300708577e-09
println,1.1053735357591243e-09,3,1.5323730995540298e-09
results,2.210440754046861e-09,1,1.5321607764623813e-09
addkid,2.2010999620181164e-09,1,1.52568623280346e-09
write,2.094255019402524e-09,1,1.451626962072373e-09
false,2.088338127426148e-09,1,1.4475256850812703e-09
apping,1.9779197862890285e-09,1,1.3709895232399696e-09
AVRO,1.9194265864219684e-09,1,1.3304451266701875e-09
ql,1.8616934660542483e-09,1,1.2904275770623744e-09
orted,1.861672926928293e-09,1,1.2904133404251273e-09
ignore,1.861333531749665e-09,1,1.2901780896139657e-09
Allow,1.8612621444091815e-09,1,1.2901286076801819e-09
Coll,1.8612207330903627e-09,1,1.2900999035412995e-09
Names,1.8612207330903627e-09,1,1.2900999035412995e-09
kids,1.8535578627520979e-09,1,1.2847884065713347e-09
Days,1.8526967737741984e-09,1,1.2841915451740924e-09
serialize,1.6289707083227967e-09,1,1.1291164536886836e-09
INSTANCE,1.6288650150908521e-09,1,1.129043192722957e-09
weight,1.6288650150908521e-09,1,1.129043192722957e-09
Raw,1.6287458187713712e-09,1,1.1289605721301756e-09
Null,1.6286043763580338e-09,1,1.1288625317201592e-09
Head,1.6218631299080857e-09,1,1.124189855749918e-09
Manager,1.6002611735732588e-09,1,1.1092165206218535e-09
Decimal,1.3961786726746084e-09,1,9.677573105223315e-10
Jackson,1.3960633482579252e-09,1,9.67677373728058e-10
added,1.3960496092479955e-09,1,9.676678505720613e-10
Capture,1.395971754858394e-09,1,9.67613886021415e-10
Definition,1.3959466083068861e-09,1,9.675964557601365e-10
Reflection,1.3868930170968243e-09,1,9.613209845389398e-10
qu,8.725090615280262e-10,2,9.585491769689694e-10
JSONArray,1.338084039403942e-09,1,9.274891792651051e-10
Big,1.3380045613131664e-09,1,9.274340892505677e-10
Schema,1.2796816106774855e-09,1,8.870077004555086e-10
map,7.563016705958159e-10,2,8.30882309256784e-10
Custom,1.16347501077918e-09,1,8.064594233735406e-10
Annotation,1.1633901481067355e-09,1,8.064006010514009e-10
type,1.1633469187977141e-09,1,8.063706367777351e-10
airs,1.157935483608874e-09,1,8.026197157338078e-10
cube,6.981302133612921e-10,2,7.669744314892048e-10
graph,6.98070795612793e-10,2,7.669091544205386e-10
null,1.105144305929562e-09,1,7.660276597669536e-10
declare,1.0471857755933733e-09,1,7.258538678750263e-10
list,9.88953759162303e-10,1,6.854905098675095e-10
Context,9.306997394986637e-10,1,6.451119003813743e-10
Root,9.306775350381713e-10,1,6.450965094221881e-10
Request,9.306478365722627e-10,1,6.450759240142766e-10
Dubbo,9.162966791570471e-10,1,6.35128459714148e-10
Entity,8.726062580843851e-10,1,6.048445675301555e-10
format,8.725168504364333e-10,1,6.047825948710573e-10
Param,8.724823467864963e-10,1,6.047586787633843e-10
ex,8.53472625905738e-10,1,5.915821443316552e-10
init,8.144908913987337e-10,1,5.645620649647888e-10
validation,8.143622720613307e-10,1,5.644729128337025e-10
MAPPER,8.143428431583999e-10,1,5.644594457444146e-10
Array,7.853505033794672e-10,1,5.443634871688115e-10
final,7.563008379285474e-10,1,5.242277934652968e-10
Validation,7.561935383426642e-10,1,5.241534190598666e-10
job,7.467885476675208e-10,1,5.176343762901983e-10
Deserializer,7.272184156942306e-10,1,5.040693944897262e-10
East,7.272123441620648e-10,1,5.040651860243239e-10
INTERVAL,6.981303035669129e-10,1,4.839070515808644e-10
Strings,6.981303035669129e-10,1,4.839070515808644e-10
Config,6.981296790664614e-10,1,4.839066187101371e-10
System,6.981273475981099e-10,1,4.839050026594228e-10
flush,6.981204364597815e-10,1,4.839002122233759e-10
serialized,6.980316741289626e-10,1,4.83838686864029e-10
Formatter,6.689295853345989e-10,1,4.6366665606781056e-10
Result,6.399527782696701e-10,1,4.4358146394912565e-10
Fail,6.399527401057536e-10,1,4.435814374959146e-10
Sync,6.399526637779207e-10,1,4.4358138458949234e-10
Document,6.108281692951412e-10,1,4.2339382335352005e-10
const,5.817698753296519e-10,1,4.0325214881945904e-10
bytes,5.817670303831513e-10,1,4.032501768528133e-10
Multiple,5.816779002909556e-10,1,4.0318839658070484e-10
Multimaps,5.526840183428527e-10,1,3.8309136905488946e-10
org,5.236012873277573e-10,1,3.629327560487928e-10
Number,5.235903273448361e-10,1,3.62925159167532e-10
Cluster,4.945089355362642e-10,1,3.4276747442866125e-10
Components,4.945068712153279e-10,1,3.4276604355042445e-10
config,4.654233665135621e-10,1,3.226068942655936e-10
Flags,4.654233665135621e-10,1,3.226068942655936e-10
Sort,4.654212570898153e-10,1,3.226054321244709e-10
interval,4.654202023779419e-10,1,3.226047010539096e-10
Response,4.654202023779419e-10,1,3.226047010539096e-10
Collection,4.6541823173207325e-10,1,3.226033351062818e-10
cl,4.65413624306521e-10,1,3.2260014148225064e-10
val,4.65413624306521e-10,1,3.2260014148225064e-10
Adapter,4.6535444941930843e-10,1,3.225591245760193e-10
column,4.5087888631001327e-10,1,3.125254288197938e-10
As,4.3633143972932054e-10,1,3.0244190723804023e-10
Multimap,4.32693409097365e-10,1,2.999202165627095e-10
AND,4.0724544569936683e-10,1,2.822810324823944e-10
Match,4.0724231278876916e-10,1,2.822788609142467e-10
Connected,4.072409527655641e-10,1,2.822779182179966e-10
from,4.072389127307563e-10,1,2.822765041736213e-10
world,4.0718514324189487e-10,1,2.822392340040169e-10
barbar,3.926428166975415e-10,1,2.721592613610163e-10
Exception,3.7815384677786223e-10,1,2.6211627271197275e-10
foo,3.780756836074817e-10,1,2.620620941307999e-10
Coordinator,3.6360946805563676e-10,1,2.520348776076661e-10
Store,3.490650893334113e-10,1,2.4195348250335947e-10
expected,3.4899581141667463e-10,1,2.419054627106984e-10
query,3.489929387145985e-10,1,2.4190347150535375e-10
key,3.1997661811833394e-10,1,2.2179089069382948e-10
Message,2.9088760913897893e-10,1,2.016279261345066e-10
Assigment,2.9088760913897893e-10,1,2.016279261345066e-10
Assignment,2.654349433393183e-10,1,1.839854825977373e-10
Fast,2.0362115639438458e-10,1,1.4113943045712336e-10
parse,2.0362115639438458e-10,1,1.4113943045712336e-10
Value,1.7453241976661535e-10,1,1.2097665467753428e-10
inverse,1.1635453017744268e-10,1,8.065081453787147e-11
ependencies,8.724895285416866e-11,1,6.04763656776746e-11
