Token,Attribution_Score,Frequency,Final_Importance
limit,2.7917013700751166e-09,1,1.9350599336329037e-09
RLStore,2.7916810529937668e-09,1,1.9350458509052484e-09
user,2.7900874943753706e-09,1,1.93394128024185e-09
extra,2.7862847029602733e-09,1,1.931305386094218e-09
Address,2.7857376405648893e-09,1,1.930926191337267e-09
ABC,2.7857376405648893e-09,1,1.930926191337267e-09
create,1.7155923123096661e-09,2,1.8847707966479363e-09
renewer,2.6754101642434418e-09,1,1.8544530121867619e-09
suspend,2.61716710803217e-09,1,1.8140820019867245e-09
As,2.558681308495459e-09,1,1.773542734935059e-09
shadow,2.554094311046917e-09,1,1.7703632705863666e-09
Count,1.5921908856457445e-09,2,1.7492004728757756e-09
localhost,2.3264008774948057e-09,1,1.6125382090877072e-09
Generic,2.3262440584925766e-09,1,1.612429510438454e-09
Received,2.2388461449335266e-09,1,1.5518498930681766e-09
Listener,1.3954573330199338e-09,2,1.5330665743677258e-09
Action,2.210121440027191e-09,1,1.5319394448499338e-09
Linked,2.2101195942814127e-09,1,1.5319381654764515e-09
Inactive,1.3886053283791722e-09,2,1.5255388778673742e-09
subscriptions,1.381335408036366e-09,2,1.517552054041129e-09
acquire,2.0937975103718646e-09,1,1.4513098409776908e-09
session,2.0937975103718646e-09,1,1.4513098409776908e-09
Ms,2.0937475503357557e-09,1,1.4512752113195211e-09
Aggregate,2.0937152012123757e-09,1,1.4512527886158567e-09
Port,2.093619652643319e-09,1,1.4511865593946084e-09
finally,2.0935583266989966e-09,1,1.4511440514892062e-09
Run,2.093496251354132e-09,1,1.4511010241389312e-09
am,2.0929219607390692e-09,1,1.4507029562182784e-09
Topic,1.2795516105001958e-09,2,1.4057311232805856e-09
Exception,1.2649597506617094e-09,2,1.3897003267475017e-09
Constants,1.9772639220372312e-09,1,1.3705349127830063e-09
Executors,1.9478649127685484e-09,1,1.350157072397163e-09
Fair,1.919268587807776e-09,1,1.3303356103762277e-09
Url,1.8611342467167444e-09,1,1.290039955755269e-09
result,1.8610966101562099e-09,1,1.2900138680794486e-09
Extended,1.8609407348435525e-09,1,1.289905823545961e-09
STOP,1.8608855567592286e-09,1,1.2898675770123833e-09
program,1.8608855567592286e-09,1,1.2898675770123833e-09
worker,1.860647080853539e-09,1,1.289702278110723e-09
AMLaunched,1.860375076212506e-09,1,1.2895137388606918e-09
Add,1.858964315815115e-09,1,1.2885358742687946e-09
Delayed,1.7448006581211042e-09,1,1.2094036568157804e-09
consumption,1.7447896252797965e-09,1,1.2093960094329344e-09
size,1.0756607583817246e-09,2,1.1817341275962208e-09
After,1.6285091747336724e-09,1,1.1287965429826482e-09
service,1.6284595338866836e-09,1,1.1287621345695175e-09
Tracing,1.6283708409448037e-09,1,1.1287006573069178e-09
rain,1.6278281916859427e-09,1,1.1283245215031054e-09
Setrep,1.5701687450242474e-09,1,1.0883580386169047e-09
shutdown,9.59668781941314e-10,2,1.0543039168918838e-09
Ledger,1.453982594046277e-09,1,1.0078239356464123e-09
able,9.013351714298734e-10,2,9.902178955416362e-10
contribution,1.4248895119362002e-09,1,9.876581478080137e-10
Stat,1.3958695033178259e-09,1,9.675430106543622e-10
cancelled,1.3958661726487522e-09,1,9.675407020104844e-10
Lock,1.3958650069145764e-09,1,9.675398939851271e-10
stop,1.3958101341415839e-09,1,9.675018590772379e-10
ttp,1.395746435095546e-09,1,9.674577062630724e-10
client,1.395746435095546e-09,1,9.674577062630724e-10
expect,1.3956829858496887e-09,1,9.674137265971977e-10
Scope,1.3956641675694215e-09,1,9.674006827592875e-10
UTF,1.3950437471876853e-09,1,9.66970640120925e-10
register,1.3931423514801367e-09,1,9.65652693047109e-10
Success,1.337373045640078e-09,1,9.269963559422871e-10
schedule,1.3371445860277387e-09,1,9.268379998061223e-10
with,8.430923580798888e-10,2,9.2623162506874e-10
Continuous,1.2795123918718507e-09,1,8.868904069174852e-10
Resource,1.2793406542477295e-09,1,8.867713674675295e-10
Kafka,1.2792514270110191e-09,1,8.867095198599745e-10
Resources,1.2213527376958575e-09,1,8.46577206603054e-10
Feature,1.2206632787892246e-09,1,8.460993101058096e-10
Runtime,1.192305200750643e-09,1,8.264429882672677e-10
Maximum,1.1631860752370216e-09,1,8.062591485171299e-10
example,1.1631220292462883e-09,1,8.06214755219227e-10
Record,1.1630534729745179e-09,1,8.061672356327396e-10
message,1.1630369584070268e-09,1,8.061557886068449e-10
Hello,1.1630369584070268e-09,1,8.061557886068449e-10
any,1.1630369584070268e-09,1,8.061557886068449e-10
EXTRA,1.162890755912471e-09,1,8.060544487599529e-10
on,1.1628644575045757e-09,1,8.060362200926669e-10
engine,1.1339610344468511e-09,1,7.860018938916739e-10
scheduling,1.105033429343871e-09,1,7.659508059741917e-10
broadcast,1.1029043615884415e-09,1,7.644750486622947e-10
tx,1.0469133060464484e-09,1,7.256650063767868e-10
Full,1.0468576006061878e-09,1,7.256263943079284e-10
PATH,1.0467791633494983e-09,1,7.255720257446031e-10
one,1.0466602584635611e-09,1,7.25489607158161e-10
Uninterruptibles,1.0466278468901358e-09,1,7.254671411674237e-10
Receiver,1.0448567636101025e-09,1,7.242395197853317e-10
collection,9.886319610186156e-10,1,6.852674563915032e-10
Intent,9.868091656317635e-10,1,6.840039909083689e-10
Virtual,9.305544668158915e-10,1,6.450112050308983e-10
secondary,9.305400894277226e-10,1,6.450012393848252e-10
page,9.303126047299769e-10,1,6.448435590079623e-10
Large,9.302915660036605e-10,1,6.448289760741335e-10
class,9.287615676534244e-10,1,6.437684620314061e-10
channel,8.722168820529675e-10,1,6.045746726318008e-10
Uninterruptibly,8.721898724084465e-10,1,6.045559509728531e-10
LEEP,8.721680669343533e-10,1,6.045408365699647e-10
DEFAULT,8.5778361323674e-10,1,5.945702930455689e-10
True,8.141482141232892e-10,1,5.643245391774725e-10
request,8.1404388091455e-10,1,5.642522209079962e-10
Browser,8.140235291387298e-10,1,5.64238114131967e-10
thread,7.849738827697684e-10,1,5.44102433655058e-10
when,7.560994989830316e-10,1,5.240882359428756e-10
MONITOR,7.34187228807609e-10,1,5.088998076511136e-10
atch,6.979485323022061e-10,1,4.837810573412261e-10
observe,6.979485323022061e-10,1,4.837810573412261e-10
ancelled,6.979330863243761e-10,1,4.837703510052422e-10
Max,6.979116451422129e-10,1,4.83755489110278e-10
Rollover,6.979116451422129e-10,1,4.83755489110278e-10
auge,6.978578548366698e-10,1,4.837182045116492e-10
contains,6.978543576341422e-10,1,4.837157804355774e-10
touch,6.978413263913907e-10,1,4.83706747866405e-10
verify,6.977186745027454e-10,1,4.836217320556002e-10
Receive,6.759680835910499e-10,1,4.685453712896457e-10
services,6.687770927327196e-10,1,4.6356095625076167e-10
prepare,6.68686522820039e-10,1,4.6349817797114357e-10
Renew,6.397719957973448e-10,1,4.434561550881387e-10
Header,6.106976799258311e-10,1,4.2330337501508976e-10
runtime,5.81618503359138e-10,1,4.031472257648816e-10
target,5.814444759000281e-10,1,4.0302659912225953e-10
find,5.52535996123371e-10,1,3.8298876787079547e-10
Value,5.52389028615763e-10,1,3.8288689775726304e-10
false,5.52389028615763e-10,1,3.8288689775726304e-10
Second,5.234532494957644e-10,1,3.6283014404293073e-10
admin,5.234532494957644e-10,1,3.6283014404293073e-10
Configuration,5.233907682256066e-10,1,3.62786835326683e-10
Register,5.233139234450679e-10,1,3.6273357058371187e-10
older,5.233000283100253e-10,1,3.627239392100336e-10
Descriptor,5.089147332715259e-10,1,3.5275281251257476e-10
ELAY,5.088426338270557e-10,1,3.5270283698592034e-10
Now,4.652934704196809e-10,1,3.225168571543541e-10
Collector,4.6523856989111323e-10,1,3.2247880300776616e-10
ACE,4.6523856989111323e-10,1,3.2247880300776616e-10
SEE,4.651732332661141e-10,1,3.224335151103607e-10
played,4.651732332661141e-10,1,3.224335151103607e-10
Array,4.6515630236498845e-10,1,3.224217795039812e-10
item,4.651555807200225e-10,1,3.2242127929780764e-10
ILLISECONDS,4.216734149353751e-10,1,2.9228173867953917e-10
IOException,4.071279251227633e-10,1,2.821995734260639e-10
producer,3.780488925381187e-10,1,2.620435239766067e-10
Layout,3.634027974375176e-10,1,2.518916244514122e-10
Automatic,3.5251141957716453e-10,1,2.443422965950955e-10
UID,3.489688329971763e-10,1,2.4188676269528714e-10
delete,3.4896737582945647e-10,1,2.4188575266359056e-10
Store,3.4896737582945647e-10,1,2.4188575266359056e-10
monitor,3.4892066319569537e-10,1,2.418533739332025e-10
Collection,3.4892066319569537e-10,1,2.418533739332025e-10
drag,3.488666855400169e-10,1,2.418159594733557e-10
Layouts,3.488666855400169e-10,1,2.418159594733557e-10
dir,3.488666855400169e-10,1,2.418159594733557e-10
consumer,3.198875244553312e-10,1,2.2172913567251337e-10
Authorization,3.1988634137392063e-10,1,2.2172831562296927e-10
listener,3.162550612015313e-10,1,2.1921130400965438e-10
Corfu,3.0534971426354746e-10,1,2.1165229352656282e-10
rate,3.053460531296515e-10,1,2.116497558219252e-10
until,3.053460531296515e-10,1,2.116497558219252e-10
Builder,2.90809251679569e-10,1,2.015736128824408e-10
Timer,2.9071583682038776e-10,1,2.015088626361769e-10
Listeners,2.9071583682038776e-10,1,2.015088626361769e-10
corfu,2.835390203875798e-10,1,1.9653427256037976e-10
Mode,2.762671246284154e-10,1,1.9149377851758916e-10
Shared,2.762654766411133e-10,1,1.914926362198371e-10
Close,2.399156433414984e-10,1,1.6629685175438503e-10
transaction,2.3264452864157903e-10,1,1.6125689910060793e-10
crashed,2.3264452864157903e-10,1,1.6125689910060793e-10
Meta,2.3264452864157903e-10,1,1.6125689910060793e-10
Asserted,2.2900953984723862e-10,1,1.587373168664439e-10
Connected,2.1810432366403678e-10,1,1.5117839701566084e-10
Upgrade,1.8902444626905934e-10,1,1.3102176198830336e-10
