Token,Attribution_Score,Frequency,Final_Importance
xy,9.19895326578768e-09,1,9.19895326578768e-09
Object,2.2977637605114953e-09,4,9.191055042045981e-09
Results,8.376407067967053e-09,1,8.376407067967053e-09
ANNOTATIONS,7.452497119420087e-09,1,7.452497119420087e-09
URI,7.3591626126301435e-09,1,7.3591626126301435e-09
many,7.269500112982996e-09,1,7.269500112982996e-09
Abstract,6.6244418839289665e-09,1,6.6244418839289665e-09
ounding,6.497051951992461e-09,1,6.497051951992461e-09
Diamond,6.2557577867883304e-09,1,6.2557577867883304e-09
Annotations,6.107798277560361e-09,1,6.107798277560361e-09
obj,2.0068732405065237e-09,3,6.020619721519571e-09
Opt,5.796386648437846e-09,1,5.796386648437846e-09
Doe,5.760940224863732e-09,1,5.760940224863732e-09
API,5.6928797440014556e-09,1,5.6928797440014556e-09
Content,5.669433533750378e-09,1,5.669433533750378e-09
Builder,5.5842713786447015e-09,1,5.5842713786447015e-09
sub,5.452125084737247e-09,1,5.452125084737247e-09
okens,5.231904669916743e-09,1,5.231904669916743e-09
params,4.798842677400383e-09,1,4.798842677400383e-09
Scheme,4.59947663289384e-09,1,4.59947663289384e-09
JSONObject,2.181635427866979e-09,2,4.363270855733958e-09
qual,4.35454250435896e-09,1,4.35454250435896e-09
Name,1.4253536111813458e-09,3,4.2760608335440375e-09
length,4.176676254852296e-09,1,4.176676254852296e-09
Weight,4.168567740991946e-09,1,4.168567740991946e-09
Controller,4.139528969604456e-09,1,4.139528969604456e-09
repair,4.043503754047606e-09,1,4.043503754047606e-09
IOException,2.021668739533855e-09,2,4.04333747906771e-09
node,3.732465003736252e-09,1,3.732465003736252e-09
Repair,3.732465003736252e-09,1,3.732465003736252e-09
properties,3.722710140152685e-09,1,3.722710140152685e-09
TT,3.72266706349933e-09,1,3.72266706349933e-09
Count,3.7126011154242633e-09,1,3.7126011154242633e-09
version,3.7024872057145326e-09,1,3.7024872057145326e-09
Range,3.499185941002736e-09,1,3.499185941002736e-09
Arrays,1.7016712717740636e-09,2,3.4033425435481272e-09
println,1.1053735357591243e-09,3,3.316120607277373e-09
ao,3.2574916375427425e-09,1,3.2574916375427425e-09
airing,3.242219354104847e-09,1,3.242219354104847e-09
Day,3.242219354104847e-09,1,3.242219354104847e-09
Standard,3.1843225799244035e-09,1,3.1843225799244035e-09
set,2.7919078715576973e-09,1,2.7919078715576973e-09
schema,2.7918932166137722e-09,1,2.7918932166137722e-09
URL,2.7768654042858994e-09,1,2.7768654042858994e-09
as,2.7260625423686236e-09,1,2.7260625423686236e-09
iterator,2.529712148091612e-09,1,2.529712148091612e-09
repeat,2.3271010118897095e-09,1,2.3271010118897095e-09
enum,2.3270795013186074e-09,1,2.3270795013186074e-09
Auth,2.29973831644692e-09,1,2.29973831644692e-09
results,2.210440754046861e-09,1,2.210440754046861e-09
addkid,2.2010999620181164e-09,1,2.2010999620181164e-09
write,2.094255019402524e-09,1,2.094255019402524e-09
false,2.088338127426148e-09,1,2.088338127426148e-09
apping,1.9779197862890285e-09,1,1.9779197862890285e-09
AVRO,1.9194265864219684e-09,1,1.9194265864219684e-09
ql,1.8616934660542483e-09,1,1.8616934660542483e-09
orted,1.861672926928293e-09,1,1.861672926928293e-09
ignore,1.861333531749665e-09,1,1.861333531749665e-09
Allow,1.8612621444091815e-09,1,1.8612621444091815e-09
Coll,1.8612207330903627e-09,1,1.8612207330903627e-09
Names,1.8612207330903627e-09,1,1.8612207330903627e-09
kids,1.8535578627520979e-09,1,1.8535578627520979e-09
Days,1.8526967737741984e-09,1,1.8526967737741984e-09
qu,8.725090615280262e-10,2,1.7450181230560524e-09
serialize,1.6289707083227967e-09,1,1.6289707083227967e-09
INSTANCE,1.6288650150908521e-09,1,1.6288650150908521e-09
weight,1.6288650150908521e-09,1,1.6288650150908521e-09
Raw,1.6287458187713712e-09,1,1.6287458187713712e-09
Null,1.6286043763580338e-09,1,1.6286043763580338e-09
Head,1.6218631299080857e-09,1,1.6218631299080857e-09
Manager,1.6002611735732588e-09,1,1.6002611735732588e-09
map,7.563016705958159e-10,2,1.5126033411916318e-09
cube,6.981302133612921e-10,2,1.3962604267225842e-09
Decimal,1.3961786726746084e-09,1,1.3961786726746084e-09
graph,6.98070795612793e-10,2,1.396141591225586e-09
Jackson,1.3960633482579252e-09,1,1.3960633482579252e-09
added,1.3960496092479955e-09,1,1.3960496092479955e-09
Capture,1.395971754858394e-09,1,1.395971754858394e-09
Definition,1.3959466083068861e-09,1,1.3959466083068861e-09
Reflection,1.3868930170968243e-09,1,1.3868930170968243e-09
JSONArray,1.338084039403942e-09,1,1.338084039403942e-09
Big,1.3380045613131664e-09,1,1.3380045613131664e-09
Schema,1.2796816106774855e-09,1,1.2796816106774855e-09
Custom,1.16347501077918e-09,1,1.16347501077918e-09
Annotation,1.1633901481067355e-09,1,1.1633901481067355e-09
type,1.1633469187977141e-09,1,1.1633469187977141e-09
airs,1.157935483608874e-09,1,1.157935483608874e-09
null,1.105144305929562e-09,1,1.105144305929562e-09
declare,1.0471857755933733e-09,1,1.0471857755933733e-09
list,9.88953759162303e-10,1,9.88953759162303e-10
Context,9.306997394986637e-10,1,9.306997394986637e-10
Root,9.306775350381713e-10,1,9.306775350381713e-10
Request,9.306478365722627e-10,1,9.306478365722627e-10
Dubbo,9.162966791570471e-10,1,9.162966791570471e-10
Entity,8.726062580843851e-10,1,8.726062580843851e-10
format,8.725168504364333e-10,1,8.725168504364333e-10
Param,8.724823467864963e-10,1,8.724823467864963e-10
ex,8.53472625905738e-10,1,8.53472625905738e-10
init,8.144908913987337e-10,1,8.144908913987337e-10
validation,8.143622720613307e-10,1,8.143622720613307e-10
MAPPER,8.143428431583999e-10,1,8.143428431583999e-10
Array,7.853505033794672e-10,1,7.853505033794672e-10
final,7.563008379285474e-10,1,7.563008379285474e-10
Validation,7.561935383426642e-10,1,7.561935383426642e-10
job,7.467885476675208e-10,1,7.467885476675208e-10
Deserializer,7.272184156942306e-10,1,7.272184156942306e-10
East,7.272123441620648e-10,1,7.272123441620648e-10
INTERVAL,6.981303035669129e-10,1,6.981303035669129e-10
Strings,6.981303035669129e-10,1,6.981303035669129e-10
Config,6.981296790664614e-10,1,6.981296790664614e-10
System,6.981273475981099e-10,1,6.981273475981099e-10
flush,6.981204364597815e-10,1,6.981204364597815e-10
serialized,6.980316741289626e-10,1,6.980316741289626e-10
Formatter,6.689295853345989e-10,1,6.689295853345989e-10
Result,6.399527782696701e-10,1,6.399527782696701e-10
Fail,6.399527401057536e-10,1,6.399527401057536e-10
Sync,6.399526637779207e-10,1,6.399526637779207e-10
Document,6.108281692951412e-10,1,6.108281692951412e-10
const,5.817698753296519e-10,1,5.817698753296519e-10
bytes,5.817670303831513e-10,1,5.817670303831513e-10
Multiple,5.816779002909556e-10,1,5.816779002909556e-10
Multimaps,5.526840183428527e-10,1,5.526840183428527e-10
org,5.236012873277573e-10,1,5.236012873277573e-10
Number,5.235903273448361e-10,1,5.235903273448361e-10
Cluster,4.945089355362642e-10,1,4.945089355362642e-10
Components,4.945068712153279e-10,1,4.945068712153279e-10
Flags,4.654233665135621e-10,1,4.654233665135621e-10
config,4.654233665135621e-10,1,4.654233665135621e-10
Sort,4.654212570898153e-10,1,4.654212570898153e-10
Response,4.654202023779419e-10,1,4.654202023779419e-10
interval,4.654202023779419e-10,1,4.654202023779419e-10
Collection,4.6541823173207325e-10,1,4.6541823173207325e-10
cl,4.65413624306521e-10,1,4.65413624306521e-10
val,4.65413624306521e-10,1,4.65413624306521e-10
Adapter,4.6535444941930843e-10,1,4.6535444941930843e-10
column,4.5087888631001327e-10,1,4.5087888631001327e-10
As,4.3633143972932054e-10,1,4.3633143972932054e-10
Multimap,4.32693409097365e-10,1,4.32693409097365e-10
AND,4.0724544569936683e-10,1,4.0724544569936683e-10
Match,4.0724231278876916e-10,1,4.0724231278876916e-10
Connected,4.072409527655641e-10,1,4.072409527655641e-10
from,4.072389127307563e-10,1,4.072389127307563e-10
world,4.0718514324189487e-10,1,4.0718514324189487e-10
barbar,3.926428166975415e-10,1,3.926428166975415e-10
Exception,3.7815384677786223e-10,1,3.7815384677786223e-10
foo,3.780756836074817e-10,1,3.780756836074817e-10
Coordinator,3.6360946805563676e-10,1,3.6360946805563676e-10
Store,3.490650893334113e-10,1,3.490650893334113e-10
expected,3.4899581141667463e-10,1,3.4899581141667463e-10
query,3.489929387145985e-10,1,3.489929387145985e-10
key,3.1997661811833394e-10,1,3.1997661811833394e-10
Assigment,2.9088760913897893e-10,1,2.9088760913897893e-10
Message,2.9088760913897893e-10,1,2.9088760913897893e-10
Assignment,2.654349433393183e-10,1,2.654349433393183e-10
parse,2.0362115639438458e-10,1,2.0362115639438458e-10
Fast,2.0362115639438458e-10,1,2.0362115639438458e-10
Value,1.7453241976661535e-10,1,1.7453241976661535e-10
inverse,1.1635453017744268e-10,1,1.1635453017744268e-10
ependencies,8.724895285416866e-11,1,8.724895285416866e-11
