Ground-truth_Fold_0,Ground-truth_Fold_1,Ground-truth_Fold_2,Ground-truth_Fold_3,Ground-truth_Fold_4,Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'latch', 'CountDownLatch', 'start', 'await']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['time', 'sleep', 'assert', 'duration', 'wait']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
3.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
3.0,1.0,3.0,0.0,2.0,4.0,1.0,4.0,1.0,2.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['@Test', 'assertEquals', 'output', 'expected', 'trim']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', '500', 'assertEquals', 'size']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,3.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,6.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
4.0,0.0,1.0,4.0,4.0,5.0,1.0,6.0,1.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
2.0,3.0,0.0,4.0,4.0,1.0,1.0,6.0,4.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,3.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['time', 'assert', 'assertEquals', 'time', 'sleep']","['Map', 'HashMap', 'put', 'get', 'assert']",[]
0.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,"['System', 'currentTimeMillis', 'when', 'thenReturn', 'now']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,5.0,4.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['DateTime', 'DateTimeZone', 'LocalDateTime', 'year', 'month']",[],[],[]
2.0,3.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['sleep', 'time', 'assert', 'duration', 'millis']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'countDownLatch', 'await', 'synchronized', 'race']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,"['sleep', 'Thread', 'wait', 'time', 'milli']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'assertEquals', 'pause', 'resume']","['Thread', 'sleep', 'race', 'condition', 'lock']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,4.0,2.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,4.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'notify', 'Thread', 'join']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['sleep', 'Thread', 'time', 'wait', 'assert']"
0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['now', 'OffsetDateTime', 'timestamp', 'checkEvent', 'assertEquals']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,0.0,4.0,4.0,0.0,2.0,6.0,1.0,1.0,1.0,"['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,0.0,0.0,0.0,4.0,3.0,1.0,6.0,1.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,"['Thread', 'sleep', 'CompletableFuture', 'submit', 'result']","['time', 'sleep', 'Thread', 'sleep', 'ms']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[]
2.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,"['clock', 'duration', 'epoch', 'hour', 'instant']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'assertEquals', 'size', 'unsubscribe']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'verify', 'times', 'update']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[]
0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']"
4.0,4.0,0.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'start', 'sleep', 'isWorking', 'assertFalse']","['Thread', 'sleep', 'race', 'condition', 'lock']",[]
0.0,4.0,0.0,0.0,3.0,1.0,6.0,1.0,6.0,4.0,"['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[]
3.0,2.0,3.0,0.0,1.0,4.0,6.0,5.0,1.0,6.0,"['for', 'field', 'if', 'name', 'field4']",[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
3.0,4.0,0.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,"['Thread', 'sleep', '1000', ';', 'Thread']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['time', 'assert', 'equals', 'long', 'windowEnd']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,"['Thread', 'sleep', 'duration', 'duration', 'fudgeFactor']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'sleep', 'assertEventually', 'count', 'error']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
3.0,4.0,3.0,4.0,0.0,1.0,1.0,6.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'resume', 'assert', 'Thread']"
3.0,4.0,0.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['System', 'currentTimeMillis', 'Thread', 'sleep', 'long']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
3.0,4.0,0.0,3.0,4.0,2.0,4.0,6.0,2.0,1.0,"['time', 'sleep', 'assert', 'time', 'assert']",[],[],"['time', 'sleep', 'assert', 'duration', 'ms']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'interrupt', 'join', 'race', 'uncaught']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,2.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Date', 'parse', 'format', 'getTime', 'assertEquals']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
4.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Map', 'put', 'get', 'size', 'order']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[]
4.0,4.0,0.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'verify', 'close', 'webSocket']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'monitor', 'getEntries', 'assertEquals']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['List', 'Map', 'read', 'write', 'order']"
2.0,0.0,4.0,4.0,0.0,2.0,6.0,2.0,2.0,1.0,[],[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Response', 'async', 'await', 'verify', 'clear']"
0.0,3.0,3.0,0.0,2.0,1.0,5.0,6.0,6.0,2.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[],[],[]
0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['assert', 'assertEquals', 'getExpiration', 'getTimestamp', 'if']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,0.0,0.0,4.0,4.0,6.0,1.0,1.0,3.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,0.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,3.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,1.0,[],[],[],[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']"
3.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,6.0,4.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['List', 'bindings', 'store', 'add', 'assert']"
4.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,4.0,0.0,0.0,5.0,1.0,6.0,1.0,1.0,4.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[]
5.0,5.0,5.0,5.0,5.0,1.0,2.0,6.0,6.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
5.0,5.0,5.0,5.0,5.0,4.0,1.0,6.0,6.0,4.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[],[]
5.0,5.0,5.0,5.0,5.0,6.0,2.0,2.0,1.0,4.0,[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
5.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,2.0,5.0,"['time', 'sleep', 'assert', 'assertEquals', 'duration']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['JSONObject', 'put', 'toJSONString', 'Assert', 'assertEquals']"
5.0,5.0,5.0,5.0,5.0,6.0,6.0,2.0,2.0,3.0,[],[],"['Date', 'SimpleDateFormat', 'format', 'replace', 'assertEquals']","['time', 'sleep', 'Thread', 'sleep', 'time']",[]
5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['time', 'sleep', 'Thread', 'sleep', 'ms']","['Map', 'sort', 'field', 'json', 'assert']"
5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,2.0,3.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['TimeZone', 'Date', 'parse', 'assert', 'assertEquals']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', '1000', ';', 'Thread']","['HashSet', 'add', 'remove', 'contains', 'size']"
5.0,5.0,5.0,5.0,5.0,2.0,6.0,4.0,1.0,1.0,[],[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,"['sleep', 'time', 'ms', 'Thread', 'sleep']","['Thread', 'sleep', '1000', ';', 'time']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['time', 'sleep', 'Thread', 'sleep', 'Thread']"
5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,6.0,"['long', 'array', 'sleep', 'time', 'test']","['sleep', 'time', 'millisecond', 'Thread', 'sleep']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[]
5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,6.0,4.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[],[]
5.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
5.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,6.0,2.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['time', 'sleep', 'Thread', 'sleep', 'ms']"
5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
