Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,0.0,0.0,0.0,5.0,"['runOnMainSync', 'callActivityOnDestroy', 'Thread.sleep', 'waitForResult', 'proceed']","['Tasks', 'waitFor', 'Callable', 'PreviewStatus.Status.COMPLETED', 'TimeUnit.MINUTES']","['runWithRate', 'greaterThan', 'DelayFn.DELAY_MS']","['await', 'until', 'equalTo']",[]
1.0,0.0,0.0,0.0,1.0,"['start', 'Thread', 'interrupt', 'while', 'sleep']","['await', 'future', 'then', 'execute', 'operation']","['System.setProperty', 'InitialContextFactory', 'new InitialContext', 'lookup', 'java:']","['addEntry', 'wait', 'notifyObject', 'wait()', 'wait(1000)']","['Thread', 'synchronize', 'race', 'order', 'dependent']"
2.0,3.0,0.0,2.0,0.0,"['TWO_MINUTES_IN_MILLIS', 'Thread.sleep', '10', 'verify', 'atLeast']","['List', 'get', 'order', 'unsorted', 'collection']","['System.setProperty', 'new InitialContext', 'lookup', 'assertTrue', 'instanceof']","['DateTime', 'now', 'DateTimeZone', 'UTC', 'hasValueSatisfying']","['waitForFileRaided', 'Thread.sleep', 'System.currentTimeMillis', 'blockFixer.filesFixed()', 'validateFile']"
0.0,0.0,0.0,2.0,0.0,"['Thread', 'start', 'sleep', '1000', 'verify']","['lookup', 'new', 'CompositeName', 'bind', 'Thread']","['future', 'get', 'token', 'invalidation', 'fastForwardSeconds']","['System.currentTimeMillis', 'when', 'calculateNextRunTime', 'assertEquals', 'System.currentTimeMillis']","['create', 'Connection', 'submit', 'await', 'executeUpdate']"
5.0,3.0,0.0,0.0,0.0,"['testUnqualifiedUriContents', 'assertEquals', 'sortedString', 'getDirectoryContents', 'sortedString']","['iterator', 'next', 'hasNext', 'order', 'unpredictable']","['bind', 'lookup', 'finally', 'pushOwner', 'popOwner']","['Math', 'max', 'getDurationMillis', 'waitMillis']","['now', 'truncatedTo', 'truncatedTo', 'now', 'truncatedTo']"
5.0,0.0,5.0,0.0,0.0,"['testRejectionsEAP6', 'throws', 'Exception', 'ModelTestControllerVersion', 'ModelVersion']","['start', 'Thread', 'sleep', 'wait', 'timeout']","['testUnwrapping', 'MAPPER', 'generateJsonSchema', 'replaceAll', 'assertEquals']","['async', 'call', 'await', 'result', 'proceed']","['waitForActiveAndReadyMaster', 'blockUntilNoRIT', 'Thread.sleep', 'waitForRSShutdownToStartAndFinish', 'Thread.start']"
0.0,0.0,0.0,0.0,0.0,"['enqueue', 'clone', 'clone()', 'await', 'assertBody']","['timeout', '300000', 'KeeperException', 'InterruptedException', 'Thread.sleep']","['lookup', 'namingContext', 'Thread', 'sleep', 'assertEquals']","['Thread', 'sleep', '3000', 'wait', 'result']","['endpoint', 'modify', 'Instant.now()', 'plus', 'truncatedTo']"
0.0,0.0,0.0,0.0,5.0,"['wait', 'waitForElementPresent', 'waitPage']","['await', 'Thread', 'start', 'countDown', 'latch']","['URL', 'wsdl', 'Class', 'getResource', 'Thread.sleep']","['System.setProperty', 'InitialContextFactory', 'class.getName', 'namingStore.rebind', 'lookup']","['testSkipCheckoutWithoutConnectionUrl', 'lookupMojo', 'execute', 'fail', 'assertTrue']"
0.0,0.0,0.0,0.0,3.0,"['send', 'receive', 'TimeUnit', 'millis', 'async']","['sendAsync', 'FutureUtil.waitForAll', 'get', 'sendAsync', 'FutureUtil.waitForAll']","['Future', 'assertFutureSuccess', 'Thread.sleep', 'await', 'timeout']","['writeValueAsString', 'readValue', 'new TypeReference', 'assertEquals', 'writeValueAsString']","['subList', 'expectedCount', 'subList', 'subList', 'subList']"
0.0,1.0,0.0,0.0,0.0,"['CollectionUtils', 'iterable', 'mockIterator', 'thenReturn', 'thenThrow']","['Thread', 'spawn', 'get', 'manager', 'get']","['flush', 'interval', 'compact', 'store', 'thread']","['Future', 'get', 'TimeUnit', 'seconds', 'lease']","['apply', 'flush', 'resolve', 'iterator', 'timestamp']"
5.0,1.0,5.0,0.0,2.0,"['graph', 'toString', 'getConnectedComponents', 'assertEquals', 'sorted']","['Thread', 'start', 'join', 'synchronized', 'Vector']","['testEnumAsEnum', 'assertEquals', 'trim', 'expected', 'output']","['wait', 'state', 'program', 'getProgramStatus', 'startProgram']","['System.currentTimeMillis', 'Assert.assertEquals', 'fileInfo.lastModificationTimeMs']"
0.0,0.0,0.0,0.0,5.0,"['start', 'build', 'build', 'addProtocol', 'build']","['CompletableFuture', 'doReturn', 'delayFuture', 'getOrCreateTopic', 'await']","['switchMap', 'test', 'never', 'onError']","['try', 'catch', 'throw', 'fail', 'expected']","['System', 'getProperty', 'user.dir', 'instanceof', 'assertEquals']"
0.0,0.0,0.0,0.0,0.0,"['Thread', 'sleep', '1000', 'wait', 'assertTrue']","['send', 'receive', '1000', 'acknowledge', 'close']","['await', 'future', 'call', 'result', 'proceed']","['Thread', 'sleep', '500', 'notify', 'wait']","['execute', 'Operation', 'composite', 'build', 'getOperation']"
0.0,0.0,0.0,0.0,0.0,"['doAs', 'PrivilegedExceptionAction', 'run', 'IOException', 'InterruptedException']","['await', 'CountDownLatch', 'countDown', 'timer', 'set']","['cluster', 'waitActive', 'await', 'future', 'result']","['Thread', 'sleep', '500', ';', 'wait']","['click', 'clickAndWait', 'assertTextPresent', 'type', 'waitForElement']"
0.0,5.0,0.0,0.0,0.0,"['Thread', 'sleep', '5000', 'try', 'catch']","['Session', 'getAdminSession', 'QueryManager', 'addNode', 'setProperty']","['em', 'createEntityManager', 'begin', 'commit', 'executeUpdate']","['run', 'times', 'append', 'finally', 'Closeables.closeQuietly']","['await', 'TimeUnit', 'seconds', 'fireEvent', 'CompositeName']"
5.0,0.0,0.0,0.0,0.0,"['test', 'assertEquals', 'checkPathData', 'Path', 'PathData']","['await', 'until', 'numberOfTasks', 'greaterThan', 'is']","['AtomicInteger', 'incrementAndGet', 'await', 'MINUTES', 'thenAnswer']","['execute', 'assertTrue', 'exists', 'assertFalse', 'exists']","['lookup', 'result', 'await', 'then', 'assertEquals']"
0.0,0.0,0.0,5.0,0.0,"['when', 'thenReturn', 'thenReturn', 'send', 'times']","['invoke', 'null', 'sample', 'one', 'sampleTwo']","['Future', 'Listener', 'submit', 'interrupt', 'Thread.sleep']","['testWithDirStringAndConf', 'dirString', 'PathData', 'conf', 'checkPathData']","['bind', 'lookup', 'finally', 'pop', 'push']"
0.0,0.0,5.0,5.0,0.0,"['serverStatus', 'throttle', 'flush', 'cleanup', 'isEqual']","['waitForStatus', 'TimeUnit.SECONDS']","['test', 'empty', 'obj', 'toJson', '=']","['null', 'Object', 'HashMap', 'assertParam', 'assertQueryString']","['Thread', 'sleep', '2000', 'addEntry', 'assertEquals']"
0.0,0.0,0.0,0.0,0.0,"['send', 'receive', 'commit', 'expect', '1000']","['Thread', 'yield', 'System.currentTimeMillis()', 'while', 'break']","['send', 'request', 'poll', 'TimeUnit.MILLISECONDS', 'wait']","['PipelineOptions', 'create', 'Server', 'awaitTermination', 'shutdownNow']","['bindObject', 'lookup', 'waitForResult']"
0.0,0.0,0.0,0.0,0.0,"['System.currentTimeMillis', 'when', 'thenReturn', 'build', 'assertEquals']","['flush', 'interval', 'compact', 'interval', 'thread.start']","['readValue', 'getInputStream', 'TypeReference', 'extract', 'extractor.extract']","['Thread', 'sleep', '1000', ';', 'finally']","['upload', 'completionFuture', 'join', 'verify', 'ArgumentCaptor']"
0.0,5.0,0.0,5.0,3.0,"['join', 'sendRequest', 'timeout']","['testMinAllowedValue', 'millis', 'DateTime', 'localDateTime', 'getYear']","['clock.setTime', 'addDaysAndCheckForCompletion', 'checkODState', 'checkChangePlanWithOverdueState', 'allowPaymentsAndResetOverdueToClearByPayingAllUnpaidInvoices']","['testListAllPort', 'assertEquals', 'port.telnet', 'throws', 'RemotingException']","['PathData', 'getDirectoryContents', 'sortedString', 'items', 'assertEquals']"
2.0,5.0,0.0,0.0,0.0,"['durationNanos', 'assertEquals', 'getCount', 'getSnapshot', 'mean']","['manyParameters', 'isSuccessful', 'assertEquals', 'asList', 'iterations']","['waitForStatus', 'setInstances', 'workerInstancesCheck', 'stop', 'waitForStatus']","['bindObject', 'lookup', 'NamingException']","['Future', 'isDone', 'join', 'Future', 'get']"
0.0,0.0,5.0,0.0,0.0,"['newClient', 'start', 'blockUntilConnected', 'forPath', 'is']","['Thread', 'sleep', '120', 'enqueue', 'start']","['test', 'bind', 'lookup', 'assertTrue', 'assertEquals']","['Mono', 'compose', 'map', 'doOnSuccess', 'create']","['poll', '1000', 'completedReceives', 'size', 'server.closeConnections']"
0.0,1.0,0.0,0.0,0.0,"['Thread', 'sleep', '200', 'break', 'await']","['Thread', 'await', 'countDown', 'join', 'start']","['Thread', 'start', 'interrupt', 'waitForCounter', 'exists']","['dispatcher', 'processAction', 'proxy', 'catch', 'Exception']","['Awaitility', 'pollInterval', 'until', 'getLedgerId']"
2.0,1.0,5.0,0.0,0.0,"['midnight', 'UTC', 'time', 'precision', 'platform']","['Thread', 'await', 'countDown', 'subscribe', 'notify']","['testAddAnExistingBuildAgent', 'getProperty', 'enableDistributedBuilds', 'goToAddBuildAgent', 'addBuildAgent']","['dispatcher', 'render', 'proxy', 'init', 'exception']","['waitForQueue', 'handleRequest', 'waitFor', 'sort', 'compare']"
5.0,0.0,0.0,0.0,0.0,"['test', 'from', 'db', 'field', 'length']","['await', 'partition', 'exchange', 'Exception', 'throws']","['Thread', 'sleep', '500', 'notify', 'Thread', 'sleep']","['Thread', 'sleep', '1500', 'isAlive', 'task.ran']","['throws', 'Exception', 'serverStatus.running', 'flushDirtyLogs', 'cleanupLogs']"
0.0,5.0,5.0,0.0,0.0,"['verify', 'timeout', 'thenReturn', 'verify', 'timeout']","['test', 'Transformer', 'throws', 'Exception', 'ModelTestControllerVersion']","['testRateLimitingMax', 'runWithRate', 'greaterThan', 'Assert.assertThat', 'duration']","['await', 'Thread.start', 'join', 'finally', 'try-with-resources']","['dispatcher', 'proxy', 'init', 'processAction', 'catch']"
5.0,0.0,0.0,0.0,0.0,"['assert', 'Collections', 'emptyList', 'verify', 'times']","['fromString', 'accept', 'checking', 'captor', 'getCapturedObject']","['Thread', 'sleep', '500', 'notify', 'wait']","['writeObject', 'flush', 'readObject', 'read', 'Class']","['JSON', 'parseObject', 'JSONObject', 'assertEquals', 'String']"
0.0,0.0,5.0,2.0,0.0,"['assertNotEquals', 'nextBroker', 'getPulsarServiceUrl', 'for', 'i']","['start', 'addRPCPlugin', 'request', 'getAllSpans', 'close']","['testChangeServiceNotExport', 'assertEquals', 'remotingException', 'telnet', 'mockChannel']","['now()', 'checkEvent', 'getEventCount', 'timestamp']","['waitForBuild', 'waitForReconciler', 'waitForDisplay', 'doRefactoring', 'checkConsistenceOfGrammar']"
0.0,0.0,5.0,0.0,0.0,"['send', 'create', 'stream', 'filter', 'collect']","['await', 'Thread.sleep', 'pulsarClient.updateServiceUrl', 'Thread.start', 'sleep']","['create', 'DirectoryManager', 'IOException', 'nonexisting-directory', '123456789']","['connectToServer', 'await', 'session.close', 'getReason', 'Assert']","['execute', 'await', 'session.execute', 'one', 'assert']"
5.0,1.0,1.0,0.0,5.0,"['assert', 'getCurrentShardingTotalCount', 'JobRegistry', 'instance', 'is']","['Collections.shuffle', 'random()', 'localNode', 'nodeConnected', 'assertNoRunningConnections']","['Thread', 'start', 'sleep', 'enqueue', 'dequeue']","['Awaitility', 'untilAsserted', 'assertTrue', 'isPresent', 'pulsar2.getBrokerService().getTopicReference(topicName).isPresent()']","['test', 'assertEquals', 'buildDTServiceName', 'URI', 'create']"
0.0,5.0,0.0,5.0,2.0,"['CompletableFuture', 'submit', 'Thread.sleep', 'complete', 'exceptionally']","['write', 'read', 'assert', 'equals', 'map']","['execute', 'await', 'result', 'proceed', 'call']","['assertEquals', 'Json.toJson', 'K.K', 'TT.T', 'JsonFormat.full().ignoreJsonShape()']","['Date', 'new', 'Date', '0', 'midnight']"
2.0,0.0,0.0,0.0,0.0,"['clock', 'instant', 'advance', 'Duration', 'ofHours']","['Thread', 'sleep', '2000', 'await', 'Thread']","['namingStore', 'lookup', 'waitFor', 'result', 'proceed']","['Thread', 'sleep', '500', 'notify', 'Thread', 'sleep']","['URL', 'openConnection', 'disconnect', 'Assert', 'assertEquals']"
0.0,0.0,0.0,0.0,0.0,"['await', 'countDown', 'dispatch', 'execute', 'Thread']","['Thread', 'sleep', '20', 'verify', 'update']","['bindListWithContinuations', 'checkListWithContinuationsResults', 'CompositeName', 'JndiPermission', 'ACTION_LIST']","['submit', 'await', 'isDone', 'cancel', 'shutdown']","['System.currentTimeMillis', '/', '1000L']"
0.0,0.0,1.0,0.0,0.0,"['Tasks.waitFor', 'TimeUnit.SECONDS', 'TimeUnit.MILLISECONDS']","['send', 'message', ';', 'close', 'try']","['Thread', 'sleep', 'start', 'race', 'map']","['try', 'catch', 'Exception', 'throw', 'fail']","['Thread', 'sleep', '2000', ';', 'objStore']"
0.0,0.0,0.0,0.0,0.0,"['bindList', 'list', 'checkListResults', 'execute', 'throws']","['bind', 'lookup', 'assertEquals', 'namingStore', 'Thread']","['TimeUnit', 'sleep', 'millis', 'seconds', 'wait']","['execute', 'assertTrue', 'exists', 'wait', 'files']","['await', 'TimeUnit', 'seconds', 'fireEvent', 'CompositeName']"
0.0,5.0,0.0,0.0,2.0,"['waitFor', 'blockInfo', 'after', 'delete', 'restart']","['testLookupBinding', 'bindObject', 'store.lookup', 'assertNotNull', 'assertEquals']","['Thread', 'start', 'sleep', '1000', 'wait']","['Thread', 'sleep', '2000', 'receive', '1000']","['System.currentTimeMillis', 'setLastModified', 'time', '%', '1000']"
0.0,0.0,0.0,0.0,3.0,"['Thread', 'sleep', '10', ';', 'wait']","['Task', 'run', 'waitFor', 'isPresent', 'Transactionals.execute']","['waitFor', 'block', 'replication', 'DFSTestUtil.waitReplication', 'wait']","['Thread', 'sleep', '5000', 'wait', 'result']","['iterator', 'next', 'order', 'unpredictable', 'collection']"
5.0,2.0,5.0,0.0,0.0,"['AvroSchema', 'assertEquals', 'Schema.Parser', 'parse', 'assertNotNull']","['assertTrue', 'compareTo', 'TimeUnit', 'L', 'windowBoundsInMillis']","['testSerialize', 'assertEquals', 'requestString', 'request', 'serializer.encode']","['createConnection', 'start', 'join', 'sleep', 'assertTrue']","['submit', 'map', 'collect', 'extracting', 'containsOnly']"
5.0,5.0,0.0,1.0,0.0,"['testBus', 'assertEquals', 'List', 'checkPin', 'circuitBuilder']","['testCreateWithTwo', 'amf.create', 'assertTrue', 'assertEquals', 'instanceof']","['sleep', 'waitFor', 'delay', 'asynchronous', 'call']","['Thread', 'synchronize', 'race', 'atomic', 'deadlock']","['beginTx', 'success', 'shutdown', 'assertNone']"
1.0,0.0,5.0,0.0,0.0,"['Thread', 'await', 'observe', 'Command', 'InterruptedException']","['reset', 'FileSystem', 'Configuration', 'getInt', 'setInt']","['testOneTimeRequest', 'noInitialDelay', 'assertEquals', 'workManagerGcmService', 'executionWindowSize']","['start', 'await', 'countDown', 'execute', 'shutdown']","['executeTransactionAsync', 'Realm', 'commitTransaction', 'postRunnableDelayed', 'refresh']"
0.0,0.0,0.0,0.0,0.0,"['Thread', 'sleep', 'stopWatch', 'start', 'stop']","['namingContext', 'bind', 'lookup', 'assertEquals', 'Thread']","['connectToServer', 'build', 'URI', 'ws', 'Assert']","['async', 'call', 'await', 'System.currentTimeMillis()', 'Thread.sleep']","['Thread', 'sleep', 'fs.getConf()', 'allocate', 'wait']"
0.0,0.0,0.0,3.0,1.0,"['scheduleRecurring', 'Thread.sleep', 'assertEventually', 'cancelAndWaitTermination', 'DEFAULT_TIMEOUT_MS']","['await', 'TimeUnit.SECONDS', 'fireEvent', 'CompositeName', 'NamingEvent.OBJECT_ADDED']","['new', 'InstanceShutdownStatusJobListener', 'dataChanged', 'Type.NODE_REMOVED', '']","['HashMap', 'put', 'String', 'String', 'order']","['Thread', 'start', 'join', 'Assert', 'assertEquals']"
0.0,0.0,0.0,0.0,0.0,"['parseObject', 'async', 'await', 'result', 'proceed']","['CompletableFuture', 'join', 'toCompletableFuture', 'completedFuture', 'execute']","['await', 'Thread', 'proxy.notify', 'startRepair', 'Thread.start']","['accept', 'with', 'waitFor', 'result', 'proceed']","['service', 'suspend', 'sendBodyAndHeader', 'Thread.sleep', 'assertMockEndpointsSatisfied']"
0.0,0.0,0.0,0.0,0.0,"['timeout', 'times', 'capture', 'putMetrics', 'getAllValues']","['await', 'future', 'then', 'execute', 'next']","['sendAsync', 'get', 'sendAsync', 'get', 'get']","['System.currentTimeMillis', 'Thread', 'sleep', 'assertEquals', 'tolerance']","['client', 'updateMetadata', 'prepareResponse', 'ensureCoordinatorReady', 'prepareMetadataUpdate']"
5.0,6.0,2.0,5.0,5.0,"['JSON', 'assertEquals', 'parseObject', 'sortField', 'test_1']","['dependsOnMethods', 'testCreateJob', 'execution', 'order', 'change']","['currentTimeMillis', 'millis', 'data', 'setData', 'time']","['Test', 'public', 'void', 'is', 'contains']","['test', 'setName', 'equals', 'assertTrue', 'Class']"
1.0,0.0,0.0,0.0,0.0,"['Thread', 'synchronize', 'race', 'atomic', 'deadlock']","['bindList', 'listBindings', 'CompositeName', 'checkListResults', 'testActionPermission']","['objectMapper.writeValueAsString', 'objectMapper.readValue', 'assertThat', 'jsonTxt', 'readContentPack']","['sendAsync', 'get', 'await', 'future', 'timeout']","['async', 'call', 'execute', 'await', 'success']"
0.0,0.0,1.0,0.0,0.0,"['await', 'TimeUnit.SECONDS', 'fireEvent', 'CompositeName', 'Object_ADDED']","['synchronized', 'unlock', 'wait', 'secondsRemaining', 'InterruptedException']","['Thread', 'interrupt', 'join', 'start', 'race']","['try', 'catch', 'throw', 'Exception', 'wait']","['Timeout', 'verify', 'try', 'catch', 'fail']"
0.0,2.0,0.0,0.0,0.0,"['submitBackground', 'waitOnFutures', 'flush', 'callOnInstance', 'repair']","['parse', 'Date', 'getTime', 'assertEquals', 'delta']","['CompletableFuture', 'cancel', 'Awaitility', 'untilAsserted', 'InterruptedException']","['waitFor', 'get', 'BlockMaster', 'BlockInfo', 'stopMasters']","['await', 'countDown', 'sleep', 'isCanceled', 'InterruptedException']"
0.0,0.0,0.0,0.0,0.0,"['client', 'post', 'get', 'wait', 'getCode']","['serialize', 'new', 'Thread', 'wait', 'Assert']","['rhinoCallConvert', 'waitForJavascript', '1000', '*', '10', 'assertTrue']","['Thread', 'sleep', '2000', 'isOnline', 'assertEquals']","['assertCommandAndResponse', 'ImmutableMap', 'DateTime.parse', 'assertCommandAndResponse', 'ImmutableMap']"
0.0,0.0,0.0,2.0,0.0,"['new', 'InitialContext', 'lookup', 'addUrlContextFactory', 'removeUrlContextFactory']","['namingContext', 'lookup', 'Thread', 'sleep', 'wait']","['when', 'Thread.sleep', 'verify', 'close']","['System.currentTimeMillis', '/', '1000', 'maxLocalDeletionTime', '5']","['queryRaw', 'countOf', 'queryRaw', 'getResults', 'size']"
0.0,0.0,0.0,0.0,0.0,"['Thread', 'sleep', '1000', 'await', 'Semaphore']","['deploy', 'startProgram', 'waitState', 'getProgramRuns', 'Assert.assertEquals']","['Thread', 'sleep', 'monitor', 'delay', 'assertTrue']","['createStrictMock', 'expect', 'andReturn', 'anyTimes', 'andAnswer']","['write', 'export', 'toString', 'read', 'equals']"
2.0,0.0,0.0,5.0,1.0,"['System.currentTimeMillis', '/', '1000', 'nowInSec', '-']","['put', 'get', 'QueueSnapshot', 'isEmpty', 'getCurrentTask']","['URI', 'create', 'throw', 'IOException', 'await']","['testAddAndRetrieve', 'PeerCache', 'getInstance', 'DatanodeID', 'FakePeer']","['Thread', 'await', 'synchronize', 'observer', 'database']"
1.0,0.0,0.0,0.0,0.0,"['Thread', 'await', 'join', 'synchronized', 'deadlock']","['await', 'termination', 'TimeUnit.SECONDS', 'shutdown', 'executor']","['write', 'StoreFile', 'Writer', 'build', 'close']","['setCallback', 'null', 'mHandler', 'assertEquals', '0']","['async', 'call', 'await', 'result', 'proceed']"
0.0,5.0,3.0,0.0,2.0,"['waitForStart', 'Thread.sleep', 'sleep', '1000', 'waitForMessage']","['testPerson', 'assertEquals', 'ReflectionToStringBuilder', 'System.identityHashCode', 'new Person']","['subList', '0', '3', '4', '7', '8', '11', '12', '15']","['waitForEpoch', 'waitForFullSyncCommitteeAggregate', 'startEventListener', 'start', 'stop']","['Instant', 'now', 'millis', 'greaterThan', 'lessThanOrEqualTo']"
5.0,0.0,2.0,2.0,5.0,"['System.currentTimeMillis', 'assertEquals', 'getProperties', 'getTags', 'Long.parseLong']","['try', 'with', 'finally', 'await', 'TimeUnit.SECONDS']","['LocalDateTime', 'now', 'minusDays', 'format', 'assertTrue']","['expiration', 'timestamp', '-', 'millis', 'comparison']","['TestUtils', 'createOpenAPI', 'AbstractJavaCodegen', 'processOpts', 'preprocessOpenAPI']"
0.0,0.0,1.0,0.0,0.0,"['Thread', 'sleep', 'msgInterval', '*', '3', 'Thread']","['set', 'prefetch', 'clear', 'get', 'info']","['Thread', 'start', 'join', 'await', 'Thread.sleep']","['Wait', 'strategy', 'Duration', 'ofMillis', 'sleepUninterruptibly']","['Thread', 'setContextClassLoader', 'URLClassLoader', 'start', 'wait']"
1.0,0.0,0.0,0.0,0.0,"['Thread', 'synchronize', 'race', 'atomic', 'deadlock']","['runOnUiThread', 'mActivityTestRule', 'mActivity', 'addItems', 'waitForItemAnimationStart']","['startTimer', 'Thread.sleep', 'verify', 'sleep', 'stopTimer']","['port', 'telnet', 'null', '-', 'l']","['dispatcher', 'render', 'proxy', 'init', 'exception']"
0.0,0.0,5.0,0.0,0.0,"['execute', 'monitor', 'waitForProjects', 'assert']","['registerReceiver', 'sendBroadcast', 'await', 'idle', 'assert']","['Queue', 'String', 'assertThat', 'hasSize', 'contains']","['HttpRequest', 'build', 'execute', 'TimeUnit.SECONDS', 'waitForStatus']","['Observable', 'subscribe', 'await', 'TimeUnit', 'seconds']"
0.0,5.0,0.0,0.0,0.0,"['admin', 'snapshot', 'get', 'async', 'call']","['graph', 'add', 'computeDependencies', 'assertEquals', 'dependencyOrder']","['TimeUnit', 'sleep', '1', '2']","['waitForCondition', 'maxWaitTimeInMs', 'getSelenium()', 'waitFor', 'Assert.assertEquals']","['send', 'Thread.sleep', 'sleep', '1000', 'iterator']"
5.0,2.0,0.0,0.0,5.0,"['EntityHelper', 'initEntityNameMap', 'EntityTable', 'Assert', 'assertEquals']","['System.currentTimeMillis', '-', '+']","['await', 'untilAtomic', 'join']","['when', 'thenReturn', 'generateResponse', 'response', 'then']","['bindObject', 'store.add', 'listBindings', 'assertEquals', 'assertContains']"
5.0,0.0,0.0,0.0,0.0,"['testBuildTokenServiceSockAddr', 'assertEquals', 'new InetSocketAddress', 'SecurityUtil.buildTokenService', 'NetUtils.createSocketAddr']","['client.get', 'Response', 'getCode', 'Thread', 'wait']","['bindListWithContinuations', 'CompositeName', 'checkListWithContinuationsResults', 'JndiPermission.ACTION_LIST_BINDINGS', 'checkListWithContinuationsResults']","['lookup', 'Thread', 'join', 'await', 'result']","['Future', 'get', 'await', 'TimeUnit', 'seconds']"
