Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
1.0,6.0,6.0,0.0,0.0,"['Thread', 'sleep', 'activity.reset', 'assertNull', 'activity.supportInvalidateOptionsMenu']",[],[],"['testRequestMetaForSuccessfulRequest', 'await', 'until', 'assertThat', 'getBalancer']","['@Test', 'testEmptyByteArrayForEmptyInput', 'new', 'ByteArrayInputStream', 'getBytes']"
1.0,1.0,1.0,6.0,6.0,"['startComputation', 'startListening', 'ConcurrentHashSet', 'Thread', 'interrupt', 'resurrection']","['IndexName', 'UUID', 'Thread', 'Concurrent', 'Requests']","['System', 'setProperty', 'InitialContext', 'InitialContextFactory', 'NamingContext']",[],[]
1.0,1.0,6.0,1.0,6.0,"['Clock', 'getTimeMillis', 'when', 'thenReturn', 'Thread']","['Method', 'parameters', 'List', 'Annotations', 'size']",[],"['DateTime', 'now', 'indexName', 'indexCreationDate', 'assertThat']",[]
6.0,6.0,6.0,6.0,6.0,[],[],[],[],[]
4.0,1.0,1.0,6.0,1.0,"['dirString', 'item', 'items', 'sortedString', 'dirString']","['put', 'entries', 'SimpleEntry', 'adapter', 'COLLECTION_1']","['Name', 'CompositeName', 'WritableServiceBasedNamingStore', 'pushOwner', 'popOwner']",[],"['TestRecordWithJsr310LogicalTypes', 'true', '34', '35L', 'java.time.Instant']"
1.0,6.0,6.0,1.0,6.0,"['subsystem.xml', 'ModelTestControllerVersion', 'ModelVersion', 'jboss-as-naming', 'testTransformer']",[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
1.0,1.0,1.0,6.0,1.0,"['Request', 'call', 'cloned', 'callback', 'await']","['Test', 'tableRegionNotOnSameServerAsMeta', 'setBalancerRunning', 'getMaster', 'setCatalogJanitorEnabled']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Duration', 'Instant', 'plus', 'truncatedTo', 'Offset']"
6.0,1.0,6.0,1.0,6.0,[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[],"['Name', 'linkName', 'namingStore', 'lookup', 'testValue']",[]
1.0,6.0,6.0,1.0,1.0,"['Producer', 'Consumer', 'topic', 'subscriptionName', 'subscriptionType']",[],[],"['ObjectMapper', 'sampleOne', 'sampleTwo', 'expectedJson', 'twin']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,6.0,6.0,6.0,6.0,"['MockIterator', 'hasNext', 'next', 'Iterable', 'Set', 'forEach']",[],[],[],[]
1.0,1.0,6.0,1.0,1.0,"['System', 'out', 'println', 'graph', 'getConnectedComponents']","['Thread', 'Vector', 'SortedSet', 'Collections', 'synchronized']",[],"['new', 'Profile', 'putProfile', 'disableProfile', 'deploy']","['long', 'System', 'currentTimeMillis', 'fileId', 'fileInfo']"
1.0,6.0,6.0,1.0,1.0,"['ProtocolSignature', 'TestImpl2', 'RPC', 'TestProtocol2', 'Version2Client']",[],[],"['test', 'NamingContext', 'List', 'NameNotFoundException', 'testActionPermission']","['Path', 'DirectoryManager', 'DirectoryManagerImpl', 'readOnly', 'directory']"
6.0,1.0,1.0,1.0,1.0,[],"['String', 'Message', 'session', 'producer', 'consumer']","['Thread', 'synchronized', 'lock', 'race', 'new']","['PullPoint', 'wsnBroker', 'subscribe', 'notify', 'Thread']","['ModelNode', 'Operations', 'CompositeOperationBuilder', 'ModelTestUtils', 'executeOperation']"
6.0,6.0,1.0,1.0,1.0,[],[],"['MiniDFSCluster', 'datanodeReport', 'datanodeInfo', 'cluster', 'fileSys']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['clickThru', 'update', 'type', 'clickAndWait', 'assertTextPresent']"
1.0,1.0,1.0,6.0,1.0,"['Bundle', 'getInstalledBundle', 'Thread', 'sleep', 'printBundleStatus']","['Node', 'session', 'queryManager', 'testRootNode', 'node']","['Entity', 'em', 'Transaction', 'jpql', 'Version']",[],"['NamingEventCoordinator', 'CollectingListener', 'EventContext', 'test', 'test/path', 'oneLevelListener']"
4.0,1.0,1.0,1.0,1.0,"['file', 'dirString', 'testDir', 'item', 'assertEquals']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'poolThread', 'poolThreadName', 'processNextBatchCount', 'connection']","['checkoutDir', 'mojo', 'execute', 'exists', 'listFiles']","['CompositeName', 'bind', 'lookup', 'namingStore', 'namingContext']"
1.0,6.0,1.0,1.0,6.0,"['UUID', 'CollectionExercise', 'SampleLink', 'SampleSummary', 'Event']",[],"['OneTimeWorkRequest', 'TestWorker', 'insertWork', 'WorkerWrapper', 'FutureListener']","['dirString', 'item', 'PathData', 'checkPathData', 'conf']",[]
1.0,6.0,0.0,1.0,6.0,"['serverStatus', 'throttle', 'journal', 'journalDirectory', 'segmentSize']",[],"['@Test', 'test_empty_obj_toJson', 'Json', 'toJson', 'new']","['Map', 'null', 'Object', 'queryString', 'asObject']",[]
6.0,6.0,1.0,1.0,1.0,[],[],"['connection', 'send', 'sessionInfo', 'producerInfo', 'consumerInfo']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Context', 'CompositeName', 'bindObject', 'lookup', 'TestBean']"
1.0,6.0,1.0,1.0,6.0,"['System', 'currentTimeMillis', 'now', 'thenReturn', 'setRequiredNetworkType']",[],"['Map', 'ObjectMapper', 'readValue', 'ClasspathResource', 'InputStream']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
1.0,2.0,6.0,6.0,4.0,"['serverTransport', 'clientTransport', 'requestFuture', 'response', 'messageABC']","['long', 'millis', 'DateTime', 'toLocalDateTime', 'year']",[],[],"['dirString', 'item', 'items', 'sortedString', 'dirString']"
1.0,6.0,1.0,6.0,6.0,"['RaftMessages.Type', 'Duration', 'metric', 'type', 'durationNanos']",[],"['WorkerManager', 'start', 'waitForStatus', 'setInstances', 'workerInstancesCheck']",[],[]
6.0,1.0,6.0,1.0,1.0,[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[],"['Mono', 'just', 'sayHello', 'map', 'doOnSuccess', 'as', 'sayHelloRespStream', 'map', 'doOnNext', 'doOnSuccess', 'sayHelloBothStream', 'map', 'doOnNext', 'sayHelloReqStream', 'map', 'doOnSuccess', 'sayHello', 'getMessage', 'doOnSuccess']","['int', 'maxReceiveCountAfterClose', 'for', 'i', 'selector']"
6.0,6.0,6.0,6.0,0.0,[],[],[],[],"['test', 'addEntry', 'getLedgerId', 'await', 'atMost', 'pollInterval', 'until']"
4.0,6.0,6.0,6.0,6.0,"['dirString', 'item', 'items', 'dirString + ', ', ', '/f1.1', 'dirString + ']",[],[],[],[]
1.0,1.0,6.0,1.0,1.0,"['Foo', 'fields', 'DatabaseFieldConfig', 'fromField', 'config']","['IgniteEx', 'startGrids', 'cluster', 'active', 'dataStreamer']",[],"['Thread', 'sleep', 'execute', 'thread', 'isAlive']","['serverStatus', 'running', 'journal', 'flushDirtyLogs', 'cleanupLogs']"
6.0,1.0,1.0,6.0,6.0,[],"['subsystem', 'ModelTestControllerVersion', 'ModelVersion', 'wildfly-naming', 'testTransformer']","['int', 'n', 'double', 'rate', 'long']",[],[]
1.0,1.0,1.0,1.0,1.0,"['Thread', 'verify', 'times', 'JobNodeStorage', 'sharding']","['NMEAMessage', 'fragmentedNMEAMessage', 'aisMessage', 'aisMessageReceiver', 'AISMessageType']","['PullPoint', 'wsnCreatePullPoint', 'wsnBroker', 'subscribe', 'notify', 'Thread', 'sleep', 'getMessages', 'assertNotNull', 'msgs', 'assertEquals']","['JSONObject', 'new', 'Character', 'Number', 'jsonObject']","['DubboResponse', 'JSONObject', 'JSON', 'JSONArray', 'String']"
1.0,6.0,6.0,1.0,6.0,"['addBrokerToZk', 'getDiscoveryProvider', 'nextBroker', 'getPulsarServiceUrl', 'assertNotEquals']",[],[],"['createNewCluster', 'OffsetDateTime', 'now', 'scaleClusterWithRestApi', 'checkEvent']",[]
6.0,6.0,0.0,1.0,1.0,[],[],"['DirectoryManagerFactory', 'createDirectoryManager', 'true', 'nonexisting-directory', '123456789']","['MessageEndpoint', 'session', 'CloseReason', 'CloseCodes', 'Foo!']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']"
6.0,1.0,6.0,0.0,1.0,[],"['Thread', 'start', 'localService', 'connectFuture', 'seedNode']",[],"['testReplicatorProducerName', 'log', 'topicName', 'dest', 'producer1']","['URI', 'create', 'buildDTServiceName', 'SecurityUtil', 'assertEquals']"
1.0,6.0,1.0,4.0,1.0,"['Thread', 'sleep', 'CompletableFuture', 'submit', 'result']",[],"['checkoutDir', 'CheckoutMojo', 'junit', 'src', 'test', 'resources']","['Json', 'toJson', 'K', 'T', 'expected']","['Optional', 'get', 'message_with_placeholder_date', 'language', 'Date']"
6.0,6.0,1.0,1.0,6.0,[],[],"['final', 'name', 'value', 'newValue', 'namingStore']","['PullPoint', 'subscription', 'notify', 'Thread', 'sleep', 'assertEquals']",[]
6.0,1.0,1.0,1.0,6.0,[],"['PerOperationSampler', 'update', 'parameters', 'Thread', 'sleep']","['bindListWithContinuations', 'NamingEnumeration', 'list', 'checkListWithContinuationsResults', 'testActionPermission']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[]
6.0,1.0,6.0,1.0,1.0,[],"['Connection', 'Session', 'TemporaryQueue', 'MessageProducer', 'TextMessage']",[],"['NamingContext', 'lookup', 'CompositeName', 'test', 'NameNotFoundException']","['ObjectStore', 'Thread', 'sleep', 'deleteRuntimeStats', 'addRuntimeStat']"
1.0,1.0,1.0,1.0,1.0,"['bindList', 'NamingEnumeration', 'list', 'checkListResults', 'testActionPermission']","['CompositeName', 'bind', 'lookup', 'namingStore', 'name']","['Process', 'store', 'table', 'listenerCommon', 'numRecords']","['checkoutDir', 'mojo', 'execute', 'listFiles', 'new File']","['NamingEventCoordinator', 'CollectingListener', 'EventContext', 'test', 'test/path', 'CompositeName']"
6.0,1.0,1.0,1.0,1.0,[],"['ServiceName', 'bindObject', 'lookup', 'CompositeName', 'assertNotNull']","['Thread', 'startServer', 'new', 'services', 'isWorking']","['Thread', 'sleep', 'createConsumer', 'createProducer', 'send']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']"
1.0,1.0,6.0,6.0,1.0,"['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'wait', 'sleep', 'cancelDeprovision', 'task']",[],[],"['put', 'entries', 'SimpleEntry', 'iterator', 'hasNext']"
1.0,1.0,4.0,1.0,1.0,"['Thread', 'synchronized', 'race', 'volatile', 'field4']","['Long', 'tstamp1', 'tstamp2', 'lowHour', 'TimeUnit']","['request', 'requestString', 'serializer', 'assertEquals', 'GetUserIdSerializableRequest']","['Thread', 'start', 'join', 'sleep', 'queue']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,1.0,1.0,1.0,1.0,"['ToBreakRunner', 'TruthTable', 'ModelAnalyser', 'ExpressionListenerStore', 'CircuitBuilder']","['AISMessage', 'create', 'split1', 'split2', 'instanceof']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Name', 'store', 'bind', 'rebind', 'lookup']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
6.0,1.0,1.0,6.0,6.0,[],"['HftpFileSystem', 'URI', 'conf', 'defaultPort', 'getDefaultSecurePort']","['TestWorker', 'workSpec', 'serviceName', 'isPersisted', 'isUpdateCurrent']",[],[]
6.0,1.0,6.0,6.0,6.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],[],[]
1.0,1.0,6.0,1.0,1.0,"['RobustJobSchedulerWrapper', 'AtomicInteger', 'Error', 'JobHandle', 'Thread']","['NamingEventCoordinator', 'addListener', 'fireEvent', 'latch', 'await']",[],"['HashMap', 'params', 'format', 'KeyValueFormatter', 'true']","['Thread', 'start', 'join', 'Assert', 'None']"
1.0,6.0,6.0,1.0,1.0,"['Map', 'Entry', 'parseObject', 'config', 'json']",[],[],"['NMEAMessage', 'unfragmentedNMEAMessage', 'aisMessage', 'aisMessageReceiver', 'AISMessageType']","['Thread', 'sleep', 'service.suspend', 'template.sendBodyAndHeader', 'mock']"
6.0,1.0,6.0,6.0,6.0,[],"['int', 'RPCTaskNums', 'tm', 'createRPCStatus', 'for']",[],[],[]
1.0,4.0,1.0,1.0,1.0,"['V1', 'JSON', 'toJSONString', 'parseObject', 'text']","['testCreateJob', 'jobList', 'api', 'output', 'jobs']","['HTable', 'put', 'get', 'setMaxVersions', 'Time']","['Node', 'addkid', 'Graph', 'MHGDominatorsFinder', 'DominatorTree']","['SimpleWritable', 'testName', 'test', 'Class', 'equals']"
6.0,1.0,1.0,6.0,1.0,[],"['bindList', 'NamingEnumeration', 'listBindings', 'CompositeName', 'checkListResults']","['Thread', 'synchronized', 'race', 'ContentPack', 'ContentPackTest']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
6.0,6.0,6.0,1.0,1.0,[],[],[],"['test', 'NamingContext', 'listBindings', 'CompositeName', 'NameNotFoundException']","['Timeout', 'verify', 'data', 'mode', 'durationChecker']"
1.0,2.0,6.0,1.0,6.0,"['Cluster', 'schemaChange', 'insert', 'flush', 'callOnInstance']","['Date', 'getTime', 'parseObject', 'getGmtCreate', 'assertEquals']",[],"['FileSystem', 'BlockMaster', 'AlluxioURI', 'URIStatus', 'blockId']",[]
1.0,3.0,1.0,6.0,1.0,"['Header', 'post', 'get', 'response', 'client']","['foo', 'bar', 'baz', 'qux', 'additionalProperties']","['Thread', 'waitForJavascript', 'notifier', 'notified', '1000']",[],"['createTlds', 'assertCommandAndResponse', 'login_valid.xml', 'login_response.xml', 'contact_create_sh8013.xml']"
1.0,1.0,6.0,1.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['TestObjectReferenceable', 'name', 'newReferenceable', 'result', 'namingContext']",[],"['createTable', 'ColumnFamilyStore', 'execute', 'forceBlockingFlush', 'getLiveSSTables']",[]
6.0,6.0,1.0,6.0,1.0,[],[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']",[],"['CouchbaseDocument', 'CustomObject', 'CustomObjectEntity', 'List', 'Map', 'BigDecimal']"
1.0,1.0,1.0,6.0,1.0,"['createTable', 'ColumnFamilyStore', 'execute', 'forceBlockingFlush', 'getLiveSSTables']","['Thread', 'sleep', 'synchronized', 'projectScmRootDao', 'projectScmRoot']","['URI', 'HftpFileSystem', 'get', 'defaultPort', 'getDefaultSecurePort']",[],"['SampleDatabase', 'openDatabase', 'insert', 'getCustomerDao', 'await']"
6.0,1.0,6.0,0.0,6.0,[],"['StatefulMonitor', 'FakeClock', 'LinkedQueuePool', 'Executors', 'FlyweightHolder']",[],"['mSession', 'setActive', 'null', 'setCallback', 'assertEquals']",[]
6.0,4.0,1.0,1.0,6.0,[],"['Person', 'testPerson', 'name', 'age', 'smoker']","['ManyParameters', 'subList', 'TestClass', 'successful', 'iterations']","['primaryNode', 'secondaryNode', 'validatorClient', 'primaryNode.waitForEpoch', 'secondaryNode.waitForFullSyncCommitteeAggregate', 'primaryNode.getContributionAndProofEvents']",[]
6.0,6.0,1.0,1.0,1.0,[],[],"['LocalDateTime', 'now', 'minusDays', 'format', 'isExpiredTimestamp']","['int', 'message', 'BrokerPath', 'ActiveMQMessage', 'amqMsg']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
6.0,6.0,6.0,1.0,1.0,[],[],[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'start', 'setContextClassLoader', 'URLClassLoader', 'setBoot']"
6.0,6.0,1.0,6.0,6.0,[],[],"['TestTimeLimitExceededListener', 'startTimer', 'stopTimer', 'Thread', 'sleep']",[],[]
1.0,1.0,6.0,6.0,1.0,"['Thread', 'synchronized', 'wait', 'sleep', 'race']","['Thread', 'broadcastReceiver', 'IntentFilter', 'sendBroadcast', 'MainLooper']",[],[],"['Thread', 'mock', 'Observer', 'Observable', 'TestSubscriber']"
6.0,4.0,1.0,0.0,6.0,[],"['graph', 'add', 'computeDependencies', 'List', 'expected', 'Assert']","['MetricsCollector', 'increment', 'gauge', 'gmetric', 'sleep']","['selenium.browserbot.getCurrentWindow().document.title.replace(/^\\\\s*/, \\', ').replace(/\\\\s*$/, \\', "") != \\'\\'"", ""selenium.browserbot.getCurrentWindow().document.getElementById(\\'footer\\') != null"", 'waitForCondition', 'maxWaitTimeInMs', 'getTitle']",[]
1.0,6.0,6.0,6.0,6.0,"['EntityHelper', 'initEntityNameMap', 'EntityTable', 'getEntityTable', 'columns']",[],[],[],[]
6.0,1.0,1.0,6.0,1.0,[],"['Header', 'get', 'Response', 'client', 'Content-Encoding']","['bindListWithContinuations', 'NamingEnumeration', 'listBindings', 'CompositeName', 'checkListWithContinuationsResults']",[],"['WebSocketClient', 'SimpleConsumerSocket', 'ClientUpgradeRequest', 'Future', 'Session']"
6.0,1.0,6.0,1.0,1.0,[],"['Thread', 'sleep', 'cache', 'put', 'size']",[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Set', 'LinkedHashSet', '3L', '4L', 'Entity']"
6.0,6.0,1.0,1.0,4.0,[],[],"['CREATE', 'RESOURCE', 'GROUP', 'sql_thread', 'VCPU']","['CREATE', 'EXTERNAL', 'CATALOG', 'IF', 'NOT', 'EXISTS']","['ImmutableMap', 'multimap', 'invertFrom', 'JSON', 'MapSortField']"
1.0,6.0,6.0,1.0,1.0,"['ALTER', 'RESOURCE', 'GROUP', 'sql_thread', 'TYPE']",[],[],"['CREATE', 'EXTERNAL', 'CATALOG', 'user_db.mysql_1', 'Properties']","['String', 'JSONObject', 'parseObject', 'LinkedHashMap', 'Model']"
6.0,6.0,1.0,1.0,6.0,[],[],"['DataSimpleVO', 'map', 'jsonStr', 'obj', 'value1']","['CREATE', 'RESOURCE', 'GROUP', 'sql_thread', 'VCPU']",[]
1.0,6.0,6.0,1.0,1.0,"['ArrayListMultimap', 'multimap', 'putAll', 'JSON', 'treeMultimap']",[],[],"['CREATE', 'EXTERNAL', 'CATALOG', 'oss_test', 'COMMENT']","['Map', 'Entry', 'parseObject', 'json', 'config']"
6.0,6.0,1.0,6.0,6.0,[],[],"['Issue2428', 'setMyName', 'setNestedBean', 'JSON', 'toJSONString', 'assertEquals']",[],[]
1.0,1.0,1.0,1.0,3.0,"['JSONObject', 'new', 'Character', 'cls', 'nums']","['JSONObject', 'JSONPath', 'arrayAdd', 'jsonObject', 'JSON.toJSONString']","['Date', 'new', 'java.util.Date', 'getTime', 'format']","['FeatureCollection', 'Geometry', 'JSON', 'parseObject', 'assertEquals']","['admin', 'admin.create', 'admin.update', 'admin.delete', 'user']"
1.0,3.0,1.0,1.0,6.0,"['JSONObject', 'JSONPath', 'reserveToArray', 'object', 'text']","['ArrayListMultimap', 'multimap', 'put', 'map', 'JSON']","['JSONSerializer', 'getMapping', 'clearSerializers', 'size', 'write']","['JSONObject', 'parseObject', 'text', 'jsonObject', 'jsonpath']",[]
6.0,2.0,1.0,4.0,3.0,[],"['TimeZone', 'getTimeZone', 'Asia/Shanghai', 'defaultTimeZone', 'parse']","['String', 'jsonStr', 'post', 'MockMvc', 'characterEncoding', 'contentType']","['VO2', 'id', 'properties', 'put', 'JSON']","['Map.Entry', 'String', 'Map.Entry', 'HashSet', 'SimpleEntry']"
1.0,1.0,1.0,6.0,6.0,"['GetUserId', 'request', 'infoField1', 'infoField2', 'expected']","['JSONObject', 'post', '/fastjson/test1', 'callback', 'content']","['Model', 'tables', 'ExtTable', 'Map', 'LinkedHashMap', 'JSON']",[],[]
4.0,4.0,6.0,1.0,6.0,"['intArray', 'wa', '1', '2', 'exp']","['WithArrays', 'boolArray', 'true', 'false', 'wa']",[],"['TimeZone', 'JSON', 'ArrayList', 'Date', 'new']",[]
4.0,4.0,6.0,6.0,1.0,"['WithArrays', 'longArray', 'toString', 'exp', 'assertEquals']","['doubleArray', 'wa', '1.0', '2.0', 'exp']",[],[],"['String', 'JSONPObject', 'JSON', 'text', 'param']"
4.0,4.0,4.0,1.0,1.0,"['WithArrays', 'stringArray', 'getClassPrefix', 'BR', 'exp', 'toString']","['Customer', 'bank', 'toString', 'exp', 'customer']","['Person', 'testPerson', 'p', 'pBaseStr', 'pJobStr']","['JSONObject', 'post', '/fastjson/test1', 'callback', 'content']","['JSONObject', 'JSONPath', 'reserveToObject', 'SerializerFeature', 'MapSortField']"
1.0,4.0,1.0,1.0,1.0,"['ReflectionStaticFieldsFixture', 'toString', 'static', 'instance', 'staticString']","['SelfInstanceTwoVarsReflectionTestFixture', 'testSelfInstanceTwoVarsReflectionObjectCycle', 'this', 'toBaseString', 'test']","['InheritedReflectionStaticFieldsFixture', 'staticInt2', 'staticString2', 'staticInt', 'staticString']","['String', 'jsonStr', 'post', 'MockMvc', 'characterEncoding', 'contentType']","['JSONObject', 'post', '/fastjson/test1', 'callback', 'content']"
1.0,4.0,6.0,1.0,1.0,"['Thread', 'synchronized', 'race', 'volatile', 'Service']","['SimpleReflectionStaticFieldsFixture', 'testSimpleReflectionStatics', 'instance1', 'staticInt', 'staticString']",[],"['LinkedHashMap', 'id', '1001', 'com.alibaba.json.bvt.writeClassName.WriteDuplicateType$DianDianCart', 'text1']","['String', 'jsonStr', 'post', 'MockMvc', 'characterEncoding', 'contentType']"
1.0,6.0,1.0,1.0,6.0,"['URL', 'newRegistryUrl', 'invoker', 'exporter', 'Thread']",[],"['Thread', 'getExtensionLoader', 'replaceExtension', 'getExtensionName', 'instanceOf']","['Map', 'parameters', 'String', 'excepted', 'Query']",[]
6.0,1.0,6.0,0.0,1.0,[],"['RpcContext', 'startAsync', 'asyncContext', 'write', 'isDone']",[],"['Test', 'wait', 'doc', 'class', 'fields', 'record']","['TestObjectWithMultipleFields', 'reflectionHashCode', 'x', 'null', 'String']"
6.0,1.0,6.0,6.0,1.0,[],"['MRAppMasterTest', 'shutDownJob', 'appMaster', 'ExitUtil', 'applicationAttemptId']",[],[],"['Ext9Empty', 'getExtensionLoader', 'addExtension', 'getExtension', 'instanceOf', 'Ext9EmptyImpl']"
1.0,6.0,1.0,1.0,1.0,"['Thread', 'synchronized', 'field4', 'fieldUnableNull', 'schema']",[],"['Map', 'set', 'get', 'null', 'HashMap']","['Thread', 'sleep', 'setTaskDone', 'task', 'reporter']","['InternalThreadLocal', 'set', 'size', 'removeAll', 'InternalThreadLocalString']"
1.0,1.0,6.0,4.0,1.0,"['zkRegCenter', 'persistSequential', 'client', 'start', 'blockUntilConnected']","['Thread', 'synchronized', 'race', 'volatile', 'stop']",[],"['SimpleBean', 'setName', 'setAge', 'setParents', 'fromObject']","['Service', 'Inherited', 'Deprecated', 'HashSet', 'set']"
4.0,1.0,1.0,6.0,6.0,"['JSONObject', 'put', 'toXmlStr', 'Assert', 'CoreMatchers']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['ObjectMapper', 'Map.Entry', 'JsonFormat', 'Value', 'Shape']",[],[]
6.0,1.0,6.0,6.0,1.0,[],"['String', 'Schema', 'KeyValue', 'AVRO', 'Foo']",[],[],"['testNfsRenameSingleNN', 'hdfs1', 'renameSingleNN', 'renameSingleNNSucess', 'FileHandle']"
1.0,6.0,6.0,1.0,6.0,"['List', 'subList', 'sort', 'externalIds', 'emails']",[],[],"['Foo', 'bars', 'otherBars', 'add', 'ObjectMapper']",[]
1.0,6.0,4.0,4.0,1.0,"['ObjectMapper', 'sampleOne', 'sampleTwo', 'expectedJson1', 'expectedJson2']",[],"['user1', 'user2', 'peter', 'summaryUsers', 'List']","['ImmutableSet', 'ImmutableMap', 'view', 'plugin', 'result']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
6.0,6.0,4.0,1.0,1.0,[],[],"['cacheKey', 'node', 'objectMapper', 'cacheKey', 'JsonNode']","['Map', 'immutableEntry', 'singletonMap', 'new', 'EnterpriseMetadataSummary']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,4.0,6.0,6.0,0.0,"['@type', 'integer', '@value', '1', '42']","['ValueReference', 'TestEnum', 'A', 'B', 'writeValueAsString']",[],[],"['EnumUtil', 'getFieldNames', 'TestEnum', 'names', 'contains']"
4.0,6.0,6.0,1.0,6.0,"['cacheKey', 'node', 'objectMapper', 'cacheKey', 'JsonNode']",[],[],"['DataField', 'setData', 'for', 'loop', 'xml']",[]
3.0,4.0,1.0,1.0,6.0,"['foo', 'bar', 'baz', 'qux', 'additionalProperties']","['a =b%2C+', 'c=32626%26', 'HashMap', 'format', 'params']","['Thread', 'synchronized', 'race', 'actual_value_added_to_context1', 'actual_value_added_to_context2']","['Thread', 'synchronized', 'field', 'fields', 'Arrays']",[]
1.0,0.0,6.0,4.0,6.0,"['String', 'new', 'JacksonAdapter', 'serialize', 'prepareSchoolModel']","['get', 'queryString', 'asObject', 'assertParam', 'assertQueryString']",[],"['RedditScope', 'EDIT', 'SEPARATOR', 'FLAIR', 'value']",[]
